word,label,weight
awkward,Moderate,4
judged,Moderate,4
uncomfortable,Moderate,4
uneasy,Moderate,4
worried,Moderate,4
worry,Moderate,4
hesitant,Moderate,3
insecure,Moderate,3
nervousness,Moderate,3
shy,Moderate,3
staring,Moderate,3
unsure,Moderate,3
