word,label,weight
anxiety,High,5
anxious,High,5
breathless,High,5
dread,High,5
fear,High,5
nervous,High,5
overwhelmed,High,5
palpitation,High,5
panic,High,5
panicking,High,5
racing,High,5
shaking,High,5
sweat,High,5
sweating,High,5
terrified,High,5
trembling,High,5
heartbeat,High,4
tense,High,4
